"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/form.js",519,11,2,27,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/input.js",3217,44,28,108,8
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngBind.js",208,4,0,13,9
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngClass.js",358,4,8,6,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngCloak.js",65,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngController.js",237,0,0,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngCsp.js",175,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngEventDirs.js",486,2,0,6,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngIf.js",126,3,0,5,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngInclude.js",296,6,0,13,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngInit.js",69,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngNonBindable.js",36,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngPluralize.js",230,3,1,5,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngRepeat.js",442,3,0,12,4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngShowHide.js",336,2,0,6,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngStyle.js",57,3,0,3,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngSwitch.js",207,3,0,10,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/ngTransclude.js",74,1,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/script.js",50,0,0,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/select.js",753,14,11,29,3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/directive/style.js",7,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/document.js",33,0,1,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/exceptionHandler.js",50,0,1,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/filter/filter.js",220,1,3,4,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/filter/filters.js",553,1,14,8,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/filter/limitTo.js",133,0,1,1,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/filter/orderBy.js",200,4,4,6,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/filter.js",150,1,2,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/http.js",1143,12,18,21,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/httpBackend.js",175,2,6,8,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/interpolate.js",350,2,5,11,2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/interval.js",188,1,2,3,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/locale.js",74,0,1,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/location.js",965,9,17,26,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/log.js",164,2,3,7,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/parse.js",1252,24,20,102,26
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/q.js",571,11,13,29,3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/raf.js",34,0,1,5,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/rootElement.js",17,0,0,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/rootScope.js",1330,6,13,31,6
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/sanitizeUri.js",72,0,1,4,1
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/sce.js",1050,3,10,19,5
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/sniffer.js",89,0,1,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/templateRequest.js",63,2,3,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/testability.js",118,2,1,8,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/timeout.js",86,1,2,3,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/urlUtils.js",104,0,2,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ng/window.js",47,0,1,0,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngAnimate/animate.js",2129,51,41,86,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngAria/aria.js",332,9,8,25,7
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngCookies/cookies.js",199,1,1,6,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_aa-dj.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_aa-er.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_aa-et.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_aa.js",116,0,2,2,0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/src/ngLocale/angular-locale_af-na.js",98,0,0,2,0
