"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/tag-defs/sortOrder.js",6,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 0 1 0 0 0 0 0 0 0 0",2,"0 0 0 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/tag-defs/tutorial-step.js",10,1,0,1,0,1,0,0,0,0,0,0,0,0,"0 0 1 0 0 0 0 0 0 0 0",2,"0 0 0 1 0 0 0 0 0 0 0",3
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/templates/nav-data.template.js",4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/templates/pages-data.template.js",4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/config/templates/versions-data.template.js",5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/gulpfile.js",112,11,0,11,0,84,14,0,0,0,0,0,0,0,"7 59 11 5 1 0 0 0 0 1 0",9,"6 3 1 0 1 0 0 0 0 0 0",4
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/docs/protractor-conf.js",14,0,0,0,0,1,1,0,0,0,0,0,0,0,"0 1 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/gdocs.js",259,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 0 0 0 0 0 0 0 0 0 0",0,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/currencySymbols.js",435,10,0,10,0,18,0,0,0,0,0,0,0,0,"0 12 5 1 0 0 0 0 0 0 0",3,"1 7 2 0 0 0 0 0 0 0 0",2
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/datetimeSymbols.js",4535,0,0,0,0,103,0,0,0,0,0,0,0,0,"0 103 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/datetimeSymbolsExt.js",22759,0,0,0,0,628,0,0,0,0,0,0,0,0,"0 628 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
"angular.js","/Users/keheliya/dev/top_frameworks/angular.js/i18n/closure/numberSymbols.js",4140,0,0,0,0,214,0,0,0,0,0,0,0,0,"0 214 0 0 0 0 0 0 0 0 0",1,"0 0 0 0 0 0 0 0 0 0 0",0
