"project","path","loc","functions","functionDecls","functionExprs","namedFuncExprs","anonCBs","minComplexity","maxComplexity","meanComplexity","calls","requires","defines","fsSyncs","fsAsyncs","setTimeouts","setIntervals","setImmediates","nextTicks","argscount","argsmax","paramscount","paramsmax"
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/admin.js",154,26,5,21,0,17,1,2,1.3076923076923077,98,1,0,0,0,0,0,0,0,"12 68 18 0 0 0 0 0 0 0 0",2,"13 9 4 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/advanced/logs.js",42,5,0,5,0,4,1,3,1.8,16,0,1,0,0,0,0,0,0,"3 9 4 0 0 0 0 0 0 0 0",2,"2 2 1 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/appearance/customise.js",33,5,0,5,0,4,1,1,1,26,0,1,0,0,0,0,0,0,"6 17 2 1 0 0 0 0 0 0 0",3,"2 3 0 0 0 0 0 0 0 0 0",1
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/appearance/skins.js",74,9,1,8,0,5,1,2,1.2222222222222223,26,0,1,0,0,0,0,0,0,"0 21 3 2 0 0 0 0 0 0 0",3,"3 6 0 0 0 0 0 0 0 0 0",1
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/appearance/themes.js",93,11,1,10,0,8,1,3,1.5454545454545454,35,0,1,0,0,0,0,0,0,"0 27 5 3 0 0 0 0 0 0 0",3,"4 6 1 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/extend/widgets.js",203,23,5,18,0,13,1,4,1.5217391304347827,127,0,1,0,0,0,0,0,0,"12 99 11 5 0 0 0 0 0 0 0",3,"12 7 4 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/general/dashboard.js",445,28,11,17,0,14,1,9,2.2857142857142856,118,0,1,0,0,0,2,0,0,"21 62 32 2 1 0 0 0 0 0 0",4,"15 6 6 0 1 0 0 0 0 0 0",4
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/general/languages.js",9,2,0,2,0,2,1,1,1,3,0,1,0,0,0,0,0,0,"1 1 0 1 0 0 0 0 0 0 0",3,"1 1 0 0 0 0 0 0 0 0 0",1
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/general/sounds.js",33,5,0,5,0,4,1,1,1,19,0,1,0,0,0,0,0,0,"4 9 4 2 0 0 0 0 0 0 0",3,"3 1 1 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/manage/categories.js",391,50,8,42,0,38,1,3,1.42,247,0,1,0,0,1,0,0,0,"31 168 24 23 1 0 0 0 0 0 0",4,"23 18 9 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/manage/flags.js",89,18,5,13,0,12,1,2,1.3333333333333333,53,0,1,0,0,0,0,0,0,"9 31 6 6 1 0 0 0 0 0 0",4,"9 6 3 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/manage/groups.js",250,32,0,32,0,31,1,4,1.71875,137,0,1,0,0,4,0,0,0,"16 82 27 12 0 0 0 0 0 0 0",3,"18 6 8 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/manage/tags.js",143,22,6,16,0,14,1,3,1.4545454545454546,75,0,1,0,0,2,0,0,0,"13 44 13 4 1 0 0 0 0 0 0",4,"10 6 6 0 0 0 0 0 0 0 0",2
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/manage/users.js",305,39,8,31,0,29,1,4,1.7692307692307692,164,0,1,0,0,1,0,0,0,"28 92 25 17 2 0 0 0 0 0 0",4,"23 12 3 1 0 0 0 0 0 0 0",3
"NodeBB","/Users/keheliya/dev/top_hybrid/NodeBB/public/src/admin/modules/iconSelect.js",47,6,0,6,0,4,1,4,1.8333333333333333,31,0,1,0,0,1,0,0,0,"2 21 8 0 0 0 0 0 0 0 0",2,"4 1 1 0 0 0 0 0 0 0 0",2
